# Constructed from biom file																																													
#OTU ID	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d1_1	d1_2	d1_3	d1_4	d1_5	d1_6	d16_1	d16_2	d16_3	d16_4	d16_5	d16_6	d2_1	d2_2	d2_3	d2_4	d2_5	d2_6	d4_1	d4_2	d4_3	d4_4	d4_5	d4_6	d8_1	d8_2	d8_3	d8_4	d8_5	d8_6	donor	food1	food2	m1	m2	m3	m4	m5	m6
dc7864f11cf192e0f71f860fe5b91d0b	0	0	0	0	0	0	0	0	0	0	0	0	128	8	23	0	0	0	0	0	0	0	32	0	0	0	27	0	281	0	0	4	1990	0	157	0	0	0	0	0	0	0	0	0	0
d98d3fcff8e85dd1b423212b87df539a	0	3	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	470	470	142	78	44	551
ba9d54d5e4576319703c8815847279e8	0	0	0	339	0	0	0	0	0	83	0	0	0	250	76	18	659	0	0	0	0	0	3	0	0	0	0	77	250	0	0	0	8	29	87	0	71	0	0	0	0	0	3	2	0
73d3e419594943128407797f76e37dc6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	8	1142	0	0	0
2804f84492963048c3ff82ea82dedfa3	0	3	1	0	501	0	0	10	16	0	28	0	926	54	0	0	84	0	32	50	61	0	68	0	0	0	47	0	6	0	0	6	35	0	0	0	8	0	0	0	0	0	0	0	0
0a56bdf1b6c230e2216058cd073f751d	325	31	66	0	0	0	190	32	32	0	0	43	33	0	37	0	0	25	91	28	0	0	20	43	66	3	16	0	0	0	390	0	0	0	35	29	0	0	0	8	8	0	0	0	0
ad565a196aa4919122d73709144c6162	0	0	0	6	0	0	0	0	0	8	0	0	43	0	130	0	1143	3	0	0	0	23	0	0	0	0	0	21	56	0	0	0	0	13	36	0	486	0	0	4	4	0	0	0	0
069d74f502a91f51ef4dd08a9b4c4742	39	0	11	0	0	11	75	5	47	0	502	3	97	28	62	0	47	16	96	21	202	0	199	40	53	0	63	0	84	5	3	131	17	0	17	0	0	0	0	0	0	0	0	6	3
43ccab284447558fe033d87f3b6feb8f	0	0	0	791	0	0	0	0	0	440	0	0	0	0	0	0	0	0	0	0	0	546	0	0	0	0	0	192	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0
ca2896ef91c65832e99a33f5bf6ae364	0	0	0	0	12	0	0	0	0	0	256	0	12	9	0	118	46	48	0	0	0	0	863	0	0	0	0	51	0	0	0	0	465	56	267	0	22	0	0	0	0	0	0	9	0
6e457df148157a03bef3385b59b518d0	0	0	0	493	0	0	0	0	0	501	0	0	0	0	0	143	0	0	0	0	0	0	0	0	0	0	0	365	0	0	0	0	0	370	0	0	40	0	0	0	0	9	0	8	0
3adf9b96ba83a171d2063fab03f3c438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	420	420	34	64	89	402
9a0a6e0f1d8f521f91e17e9b38c08eff	2	82	0	0	0	38	25	135	19	0	93	27	16	52	95	0	29	13	40	81	70	0	68	16	29	0	63	0	48	14	59	69	64	9	201	0	0	0	0	11	11	2	0	4	0
d4a49c24defd48d69dff410f823501d7	0	0	22	269	0	20	0	0	34	183	21	17	0	0	33	0	561	27	34	0	0	122	0	26	21	0	0	26	85	21	0	0	37	0	45	0	96	0	0	0	0	0	0	9	0
